state,commodity,modal_price
andaman and nicobar,coconut,5600.0
assam,jute,3350.0
assam,maize,1800.0
assam,rice,2942.8571428571427
gujarat,cotton,5230.0
gujarat,maize,1875.0
haryana,apple,6500.0
haryana,banana,2666.6666666666665
haryana,grapes,3625.0
haryana,orange,2400.0
haryana,papaya,1650.0
haryana,pomegranate,4583.333333333333
himachal pradesh,apple,6833.333333333333
himachal pradesh,banana,2385.0
himachal pradesh,grapes,6250.0
himachal pradesh,orange,3875.0
himachal pradesh,papaya,2550.0
himachal pradesh,pomegranate,6416.666666666667
karnataka,papaya,1300.0
kerala,apple,11000.0
kerala,banana,3194.4444444444443
kerala,coconut,3633.3333333333335
kerala,mango,3500.0
kerala,orange,5900.0
madhya pradesh,apple,2100.0
madhya pradesh,banana,1000.0
madhya pradesh,cotton,5400.0
madhya pradesh,orange,1000.0
maharashtra,apple,8600.0
maharashtra,banana,795.0
maharashtra,cotton,5275.0
maharashtra,grapes,2750.0
maharashtra,maize,1350.0
maharashtra,mango,4500.0
maharashtra,orange,2900.0
maharashtra,pomegranate,3250.0
manipur,banana,3400.0
manipur,rice,3800.0
meghalaya,banana,4000.0
meghalaya,orange,4000.0
odisha,banana,3000.0
odisha,coconut,1500.0
odisha,maize,1375.0
odisha,orange,8000.0
odisha,rice,2600.0
punjab,apple,5500.0
punjab,banana,1400.0
punjab,cotton,5445.0
punjab,grapes,5416.666666666667
punjab,papaya,1350.0
punjab,pomegranate,6500.0
rajasthan,banana,1900.0
rajasthan,grapes,3400.0
rajasthan,maize,1875.0
rajasthan,papaya,1400.0
rajasthan,pomegranate,1500.0
tamil nadu,coconut,2424.5833333333335
tamil nadu,cotton,5031.6
tamil nadu,maize,1894.7777777777778
telangana,cotton,5600.0
tripura,rice,2600.0
uttar pradesh,apple,5254.722222222223
uttar pradesh,banana,1481.3333333333333
uttar pradesh,grapes,4370.0
uttar pradesh,maize,1718.3333333333333
uttar pradesh,orange,1750.0
uttar pradesh,papaya,1255.5
uttar pradesh,pomegranate,4080.0
uttar pradesh,rice,2435.0
uttrakhand,apple,3050.0
uttrakhand,banana,750.0
uttrakhand,grapes,1800.0
uttrakhand,orange,1800.0
uttrakhand,papaya,700.0
uttrakhand,pomegranate,3500.0
west bengal,jute,4133.333333333333
west bengal,rice,2866.9565217391305
